description_record_id,sku,locale,short_description,long_description,material,care_instructions,bullet_1,bullet_2,seo_title,seo_description,approval_status,updated_at
DESC-000079,SKU-00079,en-CA,Portable Charger built for thoughtfully designed use.,Designed for caf̩ counters and home kitchens.,Organic cotton,Wipe clean,Available in Slate,Backed by a 1-year limited warranty,Portable Charger | Northstar,Shop the Portable Charger from Northstar. Practical design and dependable performance.,approved,2026-08-02T14:00:00.000Z
DESC-000080,SKU-00080,en-CA,Cotton Towel Set built for thoughtfully designed use.,"The Field & Form Cotton Towel Set balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",,,Available in Natural,Backed by a 1-year limited warranty,Cotton Towel Set | Field & Form,Shop the Cotton Towel Set from Field & Form. Practical design and dependable performance.,approved,2026-08-01T14:00:00.000Z
DESC-000081,SKU-00081,en-CA,Trail Bottle built for thoughtfully designed use.,"The Arcwell Trail Bottle balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",Recycled polyester,Hand wash only,Available in Black,Backed by a 1-year limited warranty,Trail Bottle | Arcwell,Shop the Trail Bottle from Arcwell. Practical design and dependable performance.,approved,2026-07-31T14:00:00.000Z
DESC-000082,SKU-00082,en-CA,Merino Tee built for everyday use.,"The Juniper Merino Tee balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",Mixed materials,Hand wash only,Available in White,Backed by a 1-year limited warranty,Merino Tee | Juniper,Shop the Merino Tee from Juniper. Practical design and dependable performance.,approved,2026-07-30T14:00:00.000Z
DESC-000083,SKU-00083,en-CA,Bamboo Board built for everyday use.,"The Kite Supply Bamboo Board balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",Organic cotton,Hand wash only,Available in Navy,Backed by a 1-year limited warranty,Bamboo Board | Kite Supply,Shop the Bamboo Board from Kite Supply. Practical design and dependable performance.,approved,2026-07-29T14:00:00.000Z
DESC-000084,SKU-00084,en-CA,Training Gloves built for versatile use.,"The Common Goods Training Gloves balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",Mixed materials,Wipe clean,,Backed by a 1-year limited warranty,Training Gloves | Common Goods,Shop the Training Gloves from Common Goods. Practical design and dependable performance.,approved,2026-07-28T14:00:00.000Z
DESC-000085,SKU-00085,en-CA,Smart Bulb built for thoughtfully designed use.,"The Northstar Smart Bulb balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",Mixed materials,Wipe clean,Available in Sand,Backed by a 1-year limited warranty,Smart Bulb | Northstar,,approved,2026-07-27T14:00:00.000Z
DESC-000086,SKU-00086,en-CA,Linen Throw built for durable use.,"The Field & Form Linen Throw balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",Recycled polyester,Store in a dry place,Available in Red,Backed by a 1-year limited warranty,Linen Throw | Field & Form,Shop the Linen Throw from Field & Form. Practical design and dependable performance.,approved,2026-07-26T14:00:00.000Z
DESC-000087,SKU-00087,en-CA,Camping Lantern built for everyday use.,"The Arcwell Camping Lantern balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",Stainless steel,Machine wash cold,Available in Slate,Backed by a 1-year limited warranty,Camping Lantern | Arcwell,Shop the Camping Lantern from Arcwell. Practical design and dependable performance.,approved,2026-07-25T14:00:00.000Z
DESC-000088,SKU-00088,en-CA,Canvas Cap built for thoughtfully designed use.,"The Juniper Canvas Cap balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",BPA-free plastic,Wipe clean,Available in Natural,Backed by a 1-year limited warranty,Canvas Cap | Juniper,Shop the Canvas Cap from Juniper. Practical design and dependable performance.,draft,2026-07-24T14:00:00.000Z
DESC-000089,SKU-00089,en-CA,Coffee Grinder built for thoughtfully designed use.,"The Kite Supply Coffee Grinder balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",Mixed materials,Store in a dry place,Available in Black,Backed by a 1-year limited warranty,Coffee Grinder | Kite Supply,Shop the Coffee Grinder from Kite Supply. Practical design and dependable performance.,approved,2026-07-23T14:00:00.000Z
DESC-000090,SKU-00090,en-CA,,"The Common Goods Jump Rope balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",Organic cotton,Machine wash cold,Available in White,Backed by a 1-year limited warranty,Jump Rope | Common Goods,Shop the Jump Rope from Common Goods. Practical design and dependable performance.,approved,2026-07-22T14:00:00.000Z
DESC-000091,SKU-00091,en-CA,Wireless Earbuds built for lightweight use.,"The Northstar Wireless Earbuds balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",Organic cotton,Store in a dry place,Available in Navy,Backed by a 1-year limited warranty,Wireless Earbuds | Northstar,Shop the Wireless Earbuds from Northstar. Practical design and dependable performance.,approved,2026-07-21T14:00:00.000Z
DESC-000092,SKU-00092,en-CA,Ceramic Planter built for everyday use.,"The Field & Form Ceramic Planter balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",Organic cotton,Store in a dry place,Available in Forest Green,Backed by a 1-year limited warranty,Ceramic Planter | Field & Form,Shop the Ceramic Planter from Field & Form. Practical design and dependable performance.,approved,2026-07-20T14:00:00.000Z
DESC-000093,SKU-00093,en-CA,Dry Bag built for versatile use.,"The Arcwell Dry Bag balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",Mixed materials,Machine wash cold,Available in Sand,Backed by a 1-year limited warranty,Dry Bag | Arcwell,Shop the Dry Bag from Arcwell. Practical design and dependable performance.,approved,2026-07-19T14:00:00.000Z
DESC-000094,SKU-00094,en-CA,Everyday Socks built for everyday use.,"The Juniper Everyday Socks balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",Stainless steel,Wipe clean,Available in Red,Backed by a 1-year limited warranty,Everyday Socks | Juniper,Shop the Everyday Socks from Juniper. Practical design and dependable performance.,approved,2026-07-18T14:00:00.000Z
DESC-000095,SKU-00095,en-CA,Mixing Bowl Set built for lightweight use.,"The Kite Supply Mixing Bowl Set balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",BPA-free plastic,Wipe clean,Available in Slate,,Mixing Bowl Set | Kite Supply,Shop the Mixing Bowl Set from Kite Supply. Practical design and dependable performance.,approved,2026-07-17T14:00:00.000Z
DESC-000096,SKU-00096,en-CA,Resistance Bands built for everyday use.,"The Common Goods Resistance Bands balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",,Wipe clean,Available in Natural,Backed by a 1-year limited warranty,Resistance Bands | Common Goods,Shop the Resistance Bands from Common Goods. Practical design and dependable performance.,approved,2026-07-16T14:00:00.000Z
DESC-000097,SKU-00097,en-CA,USB-C Hub built for versatile use.,"The Northstar USB-C Hub balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",Recycled polyester,Machine wash cold,Available in Black,Backed by a 1-year limited warranty,USB-C Hub | Northstar,Shop the USB-C Hub from Northstar. Practical design and dependable performance.,approved,2026-07-15T14:00:00.000Z
DESC-000098,SKU-00098,en-CA,LED Desk Lamp built for lightweight use.,"The Field & Form LED Desk Lamp balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",BPA-free plastic,Machine wash cold,,Backed by a 1-year limited warranty,LED Desk Lamp | Field & Form,Shop the LED Desk Lamp from Field & Form. Practical design and dependable performance.,approved,2026-07-14T14:00:00.000Z
DESC-000099,SKU-00099,en-CA,Hiking Poles built for thoughtfully designed use.,"The Arcwell Hiking Poles balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",BPA-free plastic,Store in a dry place,Available in Navy,Backed by a 1-year limited warranty,Hiking Poles | Arcwell,Shop the Hiking Poles from Arcwell. Practical design and dependable performance.,draft,2026-07-13T14:00:00.000Z
DESC-000100,SKU-00100,fr-CA,Rain Shell built for everyday use.,"The Juniper Rain Shell balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",BPA-free plastic,,Available in Forest Green,Backed by a 1-year limited warranty,Rain Shell | Juniper,Shop the Rain Shell from Juniper. Practical design and dependable performance.,approved,2026-07-12T14:00:00.000Z
DESC-000101,SKU-00101,en-CA,Chef Knife built for thoughtfully designed use.,"The Kite Supply Chef Knife balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",BPA-free plastic,Machine wash cold,Available in Sand,Backed by a 1-year limited warranty,Chef Knife | Kite Supply,Shop the Chef Knife from Kite Supply. Practical design and dependable performance.,approved,2026-07-11T14:00:00.000Z
DESC-000102,SKU-00102,en-CA,Yoga Mat built for durable use.,"The Common Goods Yoga Mat balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",Organic cotton,Store in a dry place,Available in Red,Backed by a 1-year limited warranty,Yoga Mat | Common Goods,,approved,2026-07-10T14:00:00.000Z
DESC-000103,SKU-00103,en-CA,Mechanical Keyboard built for thoughtfully designed use.,"The Northstar Mechanical Keyboard balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",Recycled polyester,Store in a dry place,Available in Slate,Backed by a 1-year limited warranty,Mechanical Keyboard | Northstar,Shop the Mechanical Keyboard from Northstar. Practical design and dependable performance.,approved,2026-07-09T14:00:00.000Z
DESC-000104,SKU-00104,en-CA,Storage Basket built for everyday use.,,Stainless steel,Store in a dry place,Available in Natural,Backed by a 1-year limited warranty,Storage Basket | Field & Form,Shop the Storage Basket from Field & Form. Practical design and dependable performance.,approved,2026-07-08T14:00:00.000Z
DESC-000105,SKU-00105,en-CA,Picnic Blanket built for lightweight use.,"The Arcwell Picnic Blanket balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",Recycled polyester,Hand wash only,Available in Black,Backed by a 1-year limited warranty,Picnic Blanket | Arcwell,Shop the Picnic Blanket from Arcwell. Practical design and dependable performance.,approved,2026-07-07T14:00:00.000Z
DESC-000106,SKU-00106,en-CA,Classic Hoodie built for lightweight use.,"The Juniper Classic Hoodie balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",Mixed materials,Machine wash cold,Available in White,Backed by a 1-year limited warranty,Classic Hoodie | Juniper,Shop the Classic Hoodie from Juniper. Practical design and dependable performance.,approved,2026-07-06T14:00:00.000Z
DESC-000107,SKU-00107,en-CA,Glass Carafe built for lightweight use.,"The Kite Supply Glass Carafe balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",BPA-free plastic,Wipe clean,Available in Navy,Backed by a 1-year limited warranty,Glass Carafe | Kite Supply,Shop the Glass Carafe from Kite Supply. Practical design and dependable performance.,approved,2026-07-05T14:00:00.000Z
DESC-000108,SKU-00108,en-CA,,"The Common Goods Foam Roller balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",Mixed materials,Store in a dry place,Available in Forest Green,Backed by a 1-year limited warranty,Foam Roller | Common Goods,Shop the Foam Roller from Common Goods. Practical design and dependable performance.,approved,2026-07-04T14:00:00.000Z
DESC-000109,SKU-00109,en-CA,Portable Charger built for durable use.,"The Northstar Portable Charger balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",BPA-free plastic,Store in a dry place,Available in Sand,Backed by a 1-year limited warranty,Portable Charger | Northstar,Shop the Portable Charger from Northstar. Practical design and dependable performance.,approved,2026-07-03T14:00:00.000Z
DESC-000110,SKU-00110,en-CA,Cotton Towel Set built for lightweight use.,"The Field & Form Cotton Towel Set balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",Mixed materials,Hand wash only,Available in Red,Backed by a 1-year limited warranty,Cotton Towel Set | Field & Form,Shop the Cotton Towel Set from Field & Form. Practical design and dependable performance.,draft,2026-07-02T14:00:00.000Z
DESC-000111,SKU-00111,en-CA,Trail Bottle built for durable use.,"The Arcwell Trail Bottle balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",Mixed materials,Hand wash only,Available in Slate,Backed by a 1-year limited warranty,Trail Bottle | Arcwell,Shop the Trail Bottle from Arcwell. Practical design and dependable performance.,approved,2026-07-01T14:00:00.000Z
DESC-000112,SKU-00112,en-CA,Merino Tee built for versatile use.,"The Juniper Merino Tee balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",,Hand wash only,,Backed by a 1-year limited warranty,Merino Tee | Juniper,Shop the Merino Tee from Juniper. Practical design and dependable performance.,approved,2026-06-30T14:00:00.000Z
DESC-000113,SKU-00113,en-CA,Bamboo Board built for thoughtfully designed use.,"The Kite Supply Bamboo Board balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",Stainless steel,Wipe clean,Available in Black,Backed by a 1-year limited warranty,Bamboo Board | Kite Supply,Shop the Bamboo Board from Kite Supply. Practical design and dependable performance.,approved,2026-06-29T14:00:00.000Z
DESC-000114,SKU-00114,en-CA,Training Gloves built for everyday use.,"The Common Goods Training Gloves balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",Mixed materials,Hand wash only,Available in White,,Training Gloves | Common Goods,Shop the Training Gloves from Common Goods. Practical design and dependable performance.,approved,2026-06-28T14:00:00.000Z
DESC-000115,SKU-00115,en-CA,Smart Bulb built for lightweight use.,"The Northstar Smart Bulb balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",BPA-free plastic,Store in a dry place,Available in Navy,Backed by a 1-year limited warranty,Smart Bulb | Northstar,Shop the Smart Bulb from Northstar. Practical design and dependable performance.,approved,2026-06-27T14:00:00.000Z
DESC-000116,SKU-00001,en-CA,Wireless Earbuds built for everyday use.,"The Northstar Wireless Earbuds balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",Organic cotton,Wipe clean,Available in Black,Backed by a 1-year limited warranty,Wireless Earbuds | Northstar,Shop the Wireless Earbuds from Northstar. Practical design and dependable performance.,approved,2026-06-26T14:00:00.000Z
DESC-000117,SKU-00002,en-CA,Ceramic Planter built for versatile use.,"The Field & Form Ceramic Planter balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",Mixed materials,Wipe clean,Available in White,Backed by a 1-year limited warranty,Ceramic Planter | Field & Form,Shop the Ceramic Planter from Field & Form. Practical design and dependable performance.,approved,2026-06-25T14:00:00.000Z
DESC-000118,SKU-00777,en-CA,Dry Bag built for everyday use.,"The Arcwell Dry Bag balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",Recycled polyester,Hand wash only,Available in Navy,Backed by a 1-year limited warranty,Dry Bag | Arcwell,Shop the Dry Bag from Arcwell. Practical design and dependable performance.,approved,2026-06-24T14:00:00.000Z
DESC-000119,SKU-00004,en-CA,Everyday Socks built for thoughtfully designed use.,"The Juniper Everyday Socks balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",BPA-free plastic,Hand wash only,Available in Forest Green,Backed by a 1-year limited warranty,Everyday Socks | Juniper,,approved,2026-06-23T14:00:00.000Z
DESC-000120,SKU-00005,en-CA,Mixing Bowl Set built for thoughtfully designed use.,"The Kite Supply Mixing Bowl Set balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",BPA-free plastic,,Available in Sand,Backed by a 1-year limited warranty,Mixing Bowl Set | Kite Supply,Shop the Mixing Bowl Set from Kite Supply. Practical design and dependable performance.,approved,2026-06-22T14:00:00.000Z
